number|certdate|org_name|org_address|lab_name|lab_address|phone|cellphone|email|www|research_fields|research_objects
AB 528|2004-10-01|Powiatowa Stacja Sanitarno-Epidemiologiczna w Jaśle|ul. Koralewskiego 13; 38-200 Jasło|Powiatowa Stacja Sanitarno-Epidemiologiczna w Jaśle|ul. Koralewskiego 13; 38-200 Jasło|13 446-30-08||psse.jaslo@pis.gov.pl|www.sanepidjaslo.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Produkty rolne - w tym pasze dla zwierząt :: Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 529|2004-09-17|TELE-COM Sp. z o.o.|ul. Jawornicka 8; 60-968 POZNAŃ|Laboratorium Badawcze|ul. Jawornicka 8; 60-968 Poznań|61 868-90-17||laboratorium@tele-com.poznan.pl|www.tele-com.poznan.pl|Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 530|2004-09-07|Powiatowa Stacja Sanitarno-Epidemiologiczna w Suwałkach|ul. Utrata 9a; 16-400 Suwałki|Oddział Laboratoryjny|ul. Utrata 9a; 16-400 Suwałki|87 565-28-60||psse.suwalki@pis.gov.pl|www.pssesuwalki.pis.gov.pl|Badania biologicznie i biochemiczne (B) :: Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N)|Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 531|2004-09-06|Wojewódzki Inspektorat Weterynarii|ul. Brodowicza 13; 30-965 Kraków|Zakład Higieny Weterynaryjnej|ul. Brodowicza 13; 30-965 Kraków|12 293-10-50||zhw@iwet.pl||Badania biologicznie i biochemiczne (B) :: Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K)|Produkty rolne - w tym pasze dla zwierząt :: Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 532|2004-09-20|Powiatowa Stacja Sanitarno-Epidemiologiczna w Bytomiu|ul. Moniuszki 25; 41-902 Bytom|Powiatowa Stacja Sanitarno-Epidemiologiczna w Bytomiu|ul. Moniuszki 25; 41-902 Bytom|32 397-66-74||ol@psse.bytom.pl|www.psse.bytom.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Badania sensoryczne (Q)|Produkty rolne - w tym pasze dla zwierząt :: Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 534|2004-09-27|Nestle Polska S.A.|ul. Domaniewska 32; 02-672 Warszawa|Oddział w Kaliszu, Laboratorium Mikrobiologiczne|ul. Łódzka 153; 62-800 Kalisz|62 765-04-21||renata.gottasova@pl.nestle.com||Badania mikrobiologiczne (K)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 535|2004-10-01|Centrum Technologiczne Budownictwa przy Politechnice Rzeszowskiej Sp. z o.o.|ul. Przemysłowa 23; 35-105 Rzeszów|Centrum Technologiczne Budownictwa przy Politechnice Rzeszowskiej Sp. z o.o.|ul. Przemysłowa 23; 35-105 Rzeszów|17 864-04-50||ctb@ctb-prz.pl|www.ctb-prz.pl|Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Wyroby budowlane, materiały budowlane, obiekty budowlane
AB 536|2004-10-01|Politechnika Łódzka|ul. Żeromskiego 116; 90-924 Łódź|Katedra Budownictwa Betonowego Laboratorium Badawcze Materiałów i Konstrukcji Budowlanych|al. Politechniki 6; 90-924 Łódź|42 631-35-85||radoslaw.walendziak@p.lodz.pl|www.bais.p.lodz.pl|Badania mechaniczne, badania metalograficzne (J) :: Badania nieniszczące (L) :: Badania właściwości fizycznych (N)|Wyroby budowlane, materiały budowlane, obiekty budowlane
AB 537|2004-10-19|Wojewódzka Stacja Sanitarno-Epidemiologiczna w Warszawie|ul. Żelazna 79; 00-875 Warszawa|Dział Laboratoryjny|ul. Żelazna 79; 00-875 Warszawa|22 620-90-01||sekretariat.lab@wsse.waw.pl|www.wsse.waw.pl|Badania biologicznie i biochemiczne (B) :: Badania chemiczne, analityka chemiczna (C) :: Badania kliniczne medyczne i weterynaryjne (D) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Badania radiochemiczne i promieniowania - w tym nuklearne (O) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P) :: Badania sensoryczne (Q)|Produkty rolne - w tym pasze dla zwierząt :: Obiekty i materiały biologiczne przeznaczone do badań :: Chemikalia, kosmetyki, wyroby chemiczne - w tym nawozy i farby :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Szkło i ceramika :: Wyroby inne :: Papier, tektura, materiały opakowaniowe :: Wyroby z tworzyw sztucznych i gumy :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 538|2004-10-25|Wojewódzka Stacja Sanitarno-Epidemiologiczna w Łodzi|ul. Wodna 40; 90-046 Łódź|Dział Laboratoryjny|ul. Wodna 40; 90-046 Łódź|42 253-62-00||wsselodz@pis.lodz.pl|www.pis.lodz.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Badania radiochemiczne i promieniowania - w tym nuklearne (O) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Produkty rolne - w tym pasze dla zwierząt :: Obiekty i materiały biologiczne przeznaczone do badań :: Chemikalia, kosmetyki, wyroby chemiczne - w tym nawozy i farby :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyposażenie medyczne :: Papier, tektura, materiały opakowaniowe :: Wyroby z tworzyw sztucznych i gumy :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność :: Wyroby tytoniowe
AB 539|2004-10-25|Powiatowa Stacja Sanitarno-Epidemiologiczna w Piotrkowie Trybunalskim|Al. 3-go Maja 8; 97-300 Piotrków Trybunalski|Oddział Laboratoryjny|al. 3-go Maja 8; 97-300 Piotrków Trybunalski|44 649-50-63||psse.piotrkowtryb@pis.gov.pl|www.pis.lodz.pl|Badania chemiczne, analityka chemiczna (C) :: Badania kliniczne medyczne i weterynaryjne (D) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Produkty rolne - w tym pasze dla zwierząt :: Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Szkło i ceramika :: Wyroby z tworzyw sztucznych i gumy :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 540|2004-10-25|Powiatowa Stacja Sanitarno-Epidemiologiczna w Skierniewicach|ul. Piłsudskiego 33; 96-100 Skierniewice|Oddział Laboratoryjny|ul. Piłsudskiego 33; 96-100 Skierniewice|46 833-46-00||skierniewice@pis.lodz.pl|www.psse.skierniewice.com.pl|Badania biologicznie i biochemiczne (B) :: Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P) :: Badania sensoryczne (Q)|Obiekty i materiały biologiczne przeznaczone do badań :: Chemikalia, kosmetyki, wyroby chemiczne - w tym nawozy i farby :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 541|2004-10-25|Powiatowa Stacja Sanitarno - Epidemiologiczna w Zduńskiej Woli|ul. Łaska 13; 98-220 Zduńska Wola|Oddział Laboratoryjny|ul. Łaska 13; 98-220 Zduńska Wola|43 823-41-48||psse.zdunskawola@pis.gov.pl|www.pssezdunskawola.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 542|2004-10-25|Powiatowa Stacja Sanitarno - Epidemiologiczna w Wieluniu|ul. Polskiej Organizacji Wojskowej 14; 98-300 Wieluń|Oddział Laboratoryjny|ul. Polskiej Organizacji Wojskowej 14; 98-300 Wieluń|43 843-19-75||wielun@pis.lodz.pl|www.pssewielun.pl|Badania chemiczne, analityka chemiczna (C) :: Badania kliniczne medyczne i weterynaryjne (D) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 543|2004-10-25|Powiatowa Stacja Sanitarno - Epidemiologiczna w Łodzi|ul. Przybyszewskiego 10; 93-189 Łódź|Powiatowa Stacja Sanitarno - Epidemiologiczna w Łodzi|ul. Przybyszewskiego 10; 93-189 Łódź|42 253-99-02||gsj@psselodz.pl|www.psselodz.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 544|2004-11-26|Państwowy Instytut Weterynaryjny - Państwowy Instytut Badawczy|Al. Partyzantów 57; 24-100 Puławy|Laboratorium Diagnostyki Serologicznej|Al. Partyzantów 57; 24-100 Puławy|81 889-30-00||sekretariat@piwet.pulawy.pl|www.piwet.pulawy.pl|Badania kliniczne medyczne i weterynaryjne (D)|Obiekty i materiały biologiczne przeznaczone do badań
AB 545|2004-12-20|Wojewódzki Inspektorat Weterynarii w Szczecinie|ul. Ostrawicka 2; 71-337 Szczecin|Zakład Higieny Weterynaryjnej w Szczecinie|ul. Ostrawicka 2; 71-337 Szczecin|91 489-82-25||zhwsekretariat@wiw.szczecin.pl|www.wiw.szczecin.pl|Badania biologicznie i biochemiczne (B) :: Badania chemiczne, analityka chemiczna (C) :: Badania kliniczne medyczne i weterynaryjne (D) :: Badania mikrobiologiczne (K) :: Badania inne (M)|Produkty rolne - w tym pasze dla zwierząt :: Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 546|2004-12-20|Wojewódzki Inspektorat Weterynarii w Szczecinie|ul. Ostrawicka 2; 71-337 Szczecin|Zakład Higieny Weterynaryjnej w Szczecinie Oddział w Koszalinie|ul. Połczyńska 72; 75-816 Koszalin|94 343-90-30||sekretariat@zhwkoszalin.pl|www.zhwkoszalin.pl|Badania chemiczne, analityka chemiczna (C) :: Badania kliniczne medyczne i weterynaryjne (D) :: Badania mikrobiologiczne (K)|Produkty rolne - w tym pasze dla zwierząt :: Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 547|2004-11-09|Instytut Badawczy Dróg i Mostów|ul. Instytutowa 1; 03-302 Warszawa|Laboratorium Badań Konstrukcji Mostowych|ul. Instytutowa 1; 03-302 Warszawa|22 675-49-83||polaszek@ibdim.edu.pl|www.ibdim.edu.pl|Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N)|Wyroby budowlane, materiały budowlane, obiekty budowlane
AB 548|2004-11-15|Wojewódzki Inspektorat Weterynarii w Katowicach|ul. Brynowska 25A; 40-585 Katowice|Zakład Higieny Weterynaryjnej|ul. Brynowska 25A; 40-585 Katowice|32 428-86-31||sekretariat.zhw@katowice.wiw.gov.pl|www.katowice.wiw.gov.pl|Badania biologicznie i biochemiczne (B) :: Badania chemiczne, analityka chemiczna (C) :: Badania kliniczne medyczne i weterynaryjne (D) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Badania radiochemiczne i promieniowania - w tym nuklearne (O)|Produkty rolne - w tym pasze dla zwierząt :: Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 550|2004-11-30|"Zakłady Pomiarowo-Badawcze Energetyki ""Energopomiar"" Sp. z o.o."|ul. Gen. J. Sowińskiego 3; 44-100 Gliwice|Zespół Laboratoriów|ul. Gen. J. Sowińskiego 3; 44-100 Gliwice|32 237-68-00||sekretariat@energopomiar.com.pl|www.energopomiar.com.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania inne (M) :: Badania właściwości fizycznych (N) :: Badania radiochemiczne i promieniowania - w tym nuklearne (O) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Wyroby budowlane, materiały budowlane, obiekty budowlane :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Paliwa i materiały smarne :: Szkło i ceramika :: Maszyny, zakłady produkcyjne, wyposażenie - w tym instalacje jądrowe :: Wyroby inne :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 551|2004-11-26|Instytut Biopolimerów i Włókien Chemicznych|ul. M.Skłodowskiej-Curie 19/27; 90-570 Łódź|Laboratorium Ochrony Środowiska|ul. M. Skłodowskiej-Curie 19/27; 90-570 Łódź|42 638-03-51||michniewicz@ibwch.lodz.pl|www.ibwch.lodz.pl|Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby inne :: Papier, tektura, materiały opakowaniowe
AB 552|2004-11-15|Wojewódzka Stacja Sanitarno-Epidemiologiczna w Kielcach|ul. Jagiellońska 68; 25-734 Kielce|Dział Laboratoryjny|ul. Jagiellońska 68; 25-734 Kielce|41 365-54-14||laboratorium@wsse-kielce.pl|www.wsse-kielce.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Badania radiochemiczne i promieniowania - w tym nuklearne (O) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P) :: Badania sensoryczne (Q)|Produkty rolne - w tym pasze dla zwierząt :: Obiekty i materiały biologiczne przeznaczone do badań :: Wyroby i wyposażenie elektryczne, telekomunikacyjne i elektroniczne :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Szkło i ceramika :: Wyposażenie medyczne :: Papier, tektura, materiały opakowaniowe :: Wyroby z tworzyw sztucznych i gumy :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 553|2004-11-26|Instytut Biotechnologii Przemysłu Rolno-Spożywczego im. prof. Wacława Dąbrowskiego|ul. Rakowiecka 36; 02-532 Warszawa|Zakład Technologii Mięsa i Tłuszczu, Laboratorium Badania Żywności i Środowiska|ul. Jubilerska 4; 04-190 Warszawa|22 509-70-00||zmt@ibprs.pl|www.ibprs.pl|Badania chemiczne, analityka chemiczna (C)|Produkty rolne - w tym pasze dla zwierząt :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 554|2004-12-13|Instytut Metalurgii Żelaza im. Stanisława Staszica|ul. Karola Miarki 12-14; 44-100 Gliwice|Zespół Laboratoriów Badawczych, Zakład Chemii Analitycznej (BC), Zakład Badań Właściwości i Struktury Materiałów (BL)|ul. Karola Miarki 12-14; 44-100 Gliwice|32 234-52-48||imz@imz.pl|www.imz.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N)|Wyroby i materiały konstrukcyjne - w tym metale i kompozyty
AB 556|2004-12-15|Henkel Polska Sp. z o.o.|ul. Domaniewska 41; 02-672 Warszawa|Centralne Laboratorium Badawcze|Stara Góra 24; 26-220 Stąporków|41 371-01-00|||www.ceresit.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N)|Wyroby budowlane, materiały budowlane, obiekty budowlane
AB 559|2004-12-17|Wojewódzki Inspektorat Weterynarii w Kielcach|ul. Ściegiennego 205; 25-116 Kielce|Zakład Higieny Weterynaryjnej w Kielcach|ul. Ściegiennego 205; 25-116 Kielce|41 361-64-98||kielce.wiw@wetgiw.gov.pl|www.wiw.kielce.pl|Badania biologicznie i biochemiczne (B) :: Badania chemiczne, analityka chemiczna (C) :: Badania kliniczne medyczne i weterynaryjne (D) :: Badania mikrobiologiczne (K)|Produkty rolne - w tym pasze dla zwierząt :: Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 560|2004-12-22|Powiatowa Stacja Sanitarno-Epidemiologiczna w Ciechanowie|ul. Sienkiewicza 27; 06-400 Ciechanów|Oddział Laboratoryjny|ul. Sienkiewicza 27; 06-400 Ciechanów|23 672-33-13||ciechanow@psse.waw.pl|www.wsse.waw.pl|Badania chemiczne, analityka chemiczna (C) :: Badania kliniczne medyczne i weterynaryjne (D) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P) :: Badania sensoryczne (Q)|Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 561|2004-12-13|Powiatowa Stacja Sanitarno-Epidemiologiczna w Grudziądzu|ul. Kosynierów Gdyńskich 31; 86-300 Grudziądz|Oddział Laboratoryjny|ul. Kosynierów Gdyńskich 31; 86-300 Grudziądz|56 451-78-10||ppis.lab@grudziadz.com|www.ppis.grudziadz.com|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 562|2004-11-30|Wojewódzka Stacja Sanitarno-Epidemiologiczna w Gdańsku|ul. Dębinki 4; 80-211 Gdańsk|Wojewódzka Stacja Sanitarno-Epidemiologiczna w Gdańsku|ul. Dębinki 4; 80-211 Gdańsk|58 345-21-50||wsse.gdansk@pis.gov.pl|www.wsse.gda.pl|Badania biologicznie i biochemiczne (B) :: Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Badania radiochemiczne i promieniowania - w tym nuklearne (O) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P) :: Badania sensoryczne (Q)|Produkty rolne - w tym pasze dla zwierząt :: Obiekty i materiały biologiczne przeznaczone do badań :: Chemikalia, kosmetyki, wyroby chemiczne - w tym nawozy i farby :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Szkło i ceramika :: Maszyny, zakłady produkcyjne, wyposażenie - w tym instalacje jądrowe :: Wyposażenie medyczne :: Wyroby inne :: Papier, tektura, materiały opakowaniowe :: Wyroby z tworzyw sztucznych i gumy :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 563|2005-01-04|Państwowy Instytut Weterynaryjny - Państwowy Instytut Badawczy|Al. Partyzantów 57; 24-100 Puławy|Zakład Pryszczycy w Zduńskiej Woli|ul. Wodna 7; 98-220 Zduńska Wola|43 823-51-34||andrzejke@piwzp.invar.net.pl||Badania kliniczne medyczne i weterynaryjne (D)|Obiekty i materiały biologiczne przeznaczone do badań
AB 564|2004-12-31|Szkoła Główna Gospodarstwa Wiejskiego|ul. Nowoursynowska 166; 02-787 Warszawa|Laboratorium Oceny Żywności i Diagnostyki Zdrowotnej, Wydział Nauk o Żywieniu Człowieka i Konsumpcji|ul. Nowoursynowska 159c; 02-766 Warszawa|22 853-01-06||monika_hoffmann@sggw.pl||Badania chemiczne, analityka chemiczna (C) :: Badania sensoryczne (Q)|Produkty rolne - w tym pasze dla zwierząt :: Obiekty i materiały biologiczne przeznaczone do badań :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 565|2004-12-31|Powiatowa Stacja Sanitarno-Epidemiologiczna w Siedlcach|ul. Poniatowskiego 31; 08-110 Siedlce|Powiatowa Stacja Sanitarno-Epidemiologiczna w Siedlcach|ul. Poniatowskiego 31; 08-110 Siedlce|25 644-20-40||siedlce@psse.waw.pl|siedlce.psse.waw.pl|Badania chemiczne, analityka chemiczna (C) :: Badania kliniczne medyczne i weterynaryjne (D) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P) :: Badania sensoryczne (Q)|Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 567|2005-01-05|Narodowe Centrum Badań Jądrowych|ul. A. Sołtana 7; 05-400 Otwock|Laboratorium Pomiarów Dozymetrycznych, Dział Pomiaru Skażeń|ul. A. Sołtana 7; 05-400 Otwock|22 718-00-32||lpd@cyf.gov.pl|www.iea.cyf.gov.pl|Badania radiochemiczne i promieniowania - w tym nuklearne (O)|Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 572|2004-12-28|Powiatowa Stacja Sanitarno-Epidemiologiczna w Słupsku|ul. Piotra Skargi 8; 76-200 Słupsk|Oddział Laboratoryjny|ul. Piotra Skargi 8; 76-200 Słupsk|59 843-12-91||psse.slupsk@pis.gov.pl|www.psse.slupsk.pl|Badania chemiczne, analityka chemiczna (C) :: Badania kliniczne medyczne i weterynaryjne (D) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 573|2005-01-25|Powiatowa Stacja Sanitarno-Epidemiologiczna w Kwidzynie|ul. Chopina 40; 82-500 Kwidzyn|Oddział Laboratoryjny|ul. Chopina 40; 82-500 Kwidzyn|55 279-38-15||jakosc.lab@pssekwidzyn.pl|www.pssekwidzyn.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N)|Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 574|2005-01-07|Wojewódzka Stacja Sanitarno-Epidemiologiczna w Szczecinie Dział Laboratoryjny|ul. Spedytorska 6/7; 70-632 Szczecin|Oddział Laboratoryjny w Szczecinku|ul. Ordona 22; 78-400 Szczecinek|94 365-82-13||m.niestoj@wsse.szczecin.pl|www.wsse.szczecin.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 576|2005-01-25|Powiatowa Stacja Sanitarno-Epidemiologiczna w Jarosławiu|ul. Grunwaldzka 7; 37-500 Jarosław|Oddział Laboratoryjny|ul. Grunwaldzka 7; 37-500 Jarosław|16 624-24-40||psse.jaroslaw@pis.gov.pl|www.psse-jaroslaw.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N)|Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 578|2005-03-02|Powiatowa Stacja Sanitarno-Epidemiologiczna w Kaliszu|ul. Kościuszki 6; 62-800 Kalisz|Oddział Laboratoryjny|ul. Kościuszki 6; 62-800 Kalisz|62 767-76-10||sekretariat@psse-kalisz.pl|www.psse-kalisz.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 579|2005-02-17|Powiatowa Stacja Sanitarno-Epidemiologiczna w Kępnie|ul. Pocztowa 1-3; 63-600 Kępno|Oddział Laboratoryjny|ul. Pocztowa 1-3; 63-600 Kepno|62 782-32-16||psse.kepno@pis.gov.pl|psse-kepno.pl|Badania mikrobiologiczne (K)|Obiekty i materiały biologiczne przeznaczone do badań
AB 580|2005-02-23|Instytut Badawczy Dróg i Mostów|ul. Instytutowa 1; 03-302 Warszawa|Zespół Diagnostyki i Napraw Mostów|ul. Instytutowa 1; 03-302 Warszawa|22 814-29-42||tgajda@ibdim.edu.pl|www.ibdim.edu.pl|Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N)|Wyroby budowlane, materiały budowlane, obiekty budowlane
